MetroArea	Binge	Asthma	HeartAt	Colonosc	Diabetes	PregDaib	PreDia	Disability	Exercise	Coverage	GeneralH	FluShot	Dentist	Teeth	BMI	PSA	Smokers	PAP
PeabodyMA	6.8	10.4	4.4	74.4	7.4	0.9	1.5	19.4	80.4	93.7	86.6	71.7	81.8	39.2	41.0	62.8	12.6	91.2
PensacolaFL	5.6	10.4	5.3	71.9	11.3	0.9	0.6	26.1	74.5	82.2	84.1	63.2	57.0	49.4	35.5	59.8	22.6	81.5
PhiladelphiaPA	3.2	10.8	3.7	71.8	10.3	1.2	0.8	21.6	75.8	87.1	85.3	66.2	73.8	47.4	39.9	55.1	15.9	82.3
PhoenixAZ	4.5	9.6	4.3	64.4	7.1	0.6	0.8	18.3	81.5	87.2	86.9	68.8	70.0	39.6	36.0	51.8	14.8	83.3
PittsburghPA	3.8	9.7	5.2	66.5	9.2	0.7	1.1	21.5	76.4	89.1	85.3	69.3	72.9	51.8	35.0	54.0	17.2	82.0
PortSt.LucieFL	5.4	8.8	4.8	71.4	12.5	1.0	0.9	29.9	77.9	80.3	82.0	67.7	64.7	51.1	35.5	67.6	17.9	73.2
PortlandME	5.7	9.3	4.0	76.5	6.7	1.2	1.2	20.4	82.1	90.6	88.6	73.3	74.6	42.9	37.6	53.1	17.2	86.8
PortlandOR	5.9	8.5	2.6	69.7	6.5	1.0	1.0	23.2	84.2	86.1	86.4	66.8	74.9	33.3	40.3	47.8	13.9	76.7
ProvidenceRI	5.7	10.7	4.1	74.2	7.9	1.1	1.9	19.4	75.7	89.7	86.6	69.2	78.7	42.9	35.7	57.5	16.7	85.6
ProvoUT	1.5	10.7	2.8	68.9	4.8	0.7	1.0	19.5	83.8	85.5	91.8	64.4	77.3	26.3	44.3	48.4	5.8	63.3
RaleighNC	3.2	5.6	2.8	72.5	7.4	0.7	1.0	16.6	79.6	86.1	90.2	70.9	75.7	38.1	37.1	54.8	16.6	91.0
RapidCitySD	4.1	6.3	3.7	69.9	7.5	1.3	0.5	23.4	75.6	88.2	90.3	73.6	73.2	45.1	32.3	54.9	17.5	84.7
RenoNV	8.5	8.1	3.8	69.8	6.7	0.4	1.0	22.2	80.9	82.4	84.7	60.0	72.6	41.8	42.5	48.8	19.1	84.8
RichmondVA	6.7	7.0	4.9	69.9	9.8	2.3	1.0	20.4	73.8	87.2	90.1	67.4	77.2	37.5	32.8	55.0	19.6	87.2
RiversideCA	5.8	6.6	3.5	55.4	10.2	0.9	1.1	17.7	76.4	76.6	80.7	59.2	66.0	43.2	35.1	43.2	14.0	82.8
RochesterNY	4.1	7.1	3.7	73.9	9.7	1.2	1.8	22.5	81.0	90.9	85.1	76.8	73.0	44.2	37.4	50.3	13.7	84.1
RockinghamCoNH	6.5	9.6	4.0	76.6	7.7	0.6	2.4	19.0	80.5	90.8	89.8	69.4	78.4	40.0	37.1	57.0	16.5	84.6
RutlandVT	7.2	14.5	5.1	72.3	7.7	0.2	0.6	24.8	77.4	88.3	87.1	63.2	73.0	51.7	36.2	59.8	19.0	76.4
SacramentoCA	5.1	8.6	3.3	70.9	8.3	0.7	1.3	18.7	84.7	87.2	86.9	73.1	74.1	36.8	40.9	46.0	10.9	82.5
SaltLakeCityUT	4.0	10.1	2.5	71.5	6.6	0.8	1.3	19.4	81.7	83.1	87.7	70.2	72.7	34.4	41.8	49.9	10.8	78.8
SanAntonioTX	8.2	6.1	4.0	67.7	9.2	0.9	0.8	17.7	73.5	82.8	83.9	67.6	68.6	41.7	36.7	53.6	17.0	72.6
SanDiegoCA	7.3	7.7	3.1	64.5	8.9	2.4	1.3	17.5	81.0	82.3	85.6	62.2	74.1	38.8	41.2	51.7	13.0	85.9
SanFranciscoCA	6.1	8.2	2.7	67.6	7.1	1.5	2.8	19.0	82.6	90.7	85.4	63.1	76.0	39.0	44.8	44.4	9.5	80.3
SanJoseCA	4.0	7.0	2.8	63.5	8.6	0.8	2.6	16.8	83.0	89.4	85.2	69.0	79.2	43.6	39.7	40.3	8.0	83.5
SantaAnaCA	4.3	6.5	2.6	64.8	8.1	1.7	1.6	14.4	78.9	84.3	84.5	68.2	72.2	36.9	43.1	54.1	9.0	78.1
SantaFeNM	7.8	9.2	2.5	68.4	6.0	0.3	0.6	22.2	82.1	79.3	84.8	67.2	69.2	42.1	46.3	50.0	19.8	83.2
ScottsbluffNE	2.5	5.8	5.8	51.8	9.4	0.4	0.7	18.3	72.5	88.5	85.5	66.8	61.4	45.9	27.9	47.4	20.7	73.0
ScrantonPA	7.3	8.6	5.4	68.4	10.0	0.3	1.2	26.3	67.2	87.7	82.1	64.8	69.9	57.5	35.9	57.0	24.3	72.0
SeafordDE	5.6	10.8	6.2	74.5	11.6	0.3	1.6	20.6	74.2	87.9	86.3	68.4	69.0	54.9	30.5	61.8	19.1	86.4
SeattleWA	6.1	8.9	2.5	71.4	6.4	0.9	1.0	22.3	83.4	85.9	88.6	70.8	76.0	32.9	42.3	43.9	12.9	82.6
SebringFL	7.1	9.1	7.8	73.0	14.1	0.3	1.0	28.9	71.1	79.8	75.0	68.7	59.7	60.0	35.5	55.0	20.5	78.4
ShreveportLA	3.0	7.5	7.0	61.4	10.0	0.7	1.5	22.8	65.9	77.6	79.3	64.2	62.7	55.8	33.2	55.9	27.0	82.1
SiouxCityIA	5.1	5.7	4.1	58.9	7.3	0.8	1.4	18.9	71.8	86.4	87.3	66.3	71.7	44.7	32.6	57.7	18.1	81.9
SiouxFallsSD	6.4	6.8	3.3	74.8	5.1	1.7	0.6	17.4	78.6	93.4	91.7	73.2	79.7	34.4	33.3	60.2	11.7	87.6
SpokaneWA	5.5	12.5	3.4	70.8	8.3	0.6	0.8	30.6	81.7	86.0	86.2	66.5	72.2	36.5	35.9	50.2	16.6	77.0
SpringfieldMA	9.2	12.3	3.7	74.1	7.7	0.7	1.1	20.9	79.5	94.0	88.2	70.3	80.1	39.5	41.2	54.2	18.3	78.7
St.LouisMO	6.1	9.4	3.5	69.3	8.5	1.8	1.1	22.1	74.5	86.4	86.4	72.8	70.6	42.8	36.2	60.5	17.8	84.2
TacomaWA	5.4	10.4	4.1	73.4	9.5	0.6	1.0	27.2	80.4	87.7	84.2	72.6	72.4	38.9	32.3	53.0	16.8	86.6
TallahasseeFL	3.5	8.0	2.4	76.3	11.6	0.8	0.7	21.7	77.9	84.8	83.9	65.8	65.4	45.4	33.6	60.9	17.1	87.0
TampaFL	5.3	9.4	5.5	68.0	11.9	1.1	0.9	26.1	77.9	85.2	82.8	63.4	66.1	56.9	35.5	68.3	20.5	79.3
ToledoOH	3.3	12.1	4.2	64.6	9.7	0.9	2.5	22.5	75.3	87.8	83.5	61.0	76.0	39.6	31.1	53.4	21.2	87.1
TopekaKS	4.6	7.4	3.8	72.1	9.6	0.9	0.9	23.3	77.7	87.9	83.9	74.8	74.3	46.1	28.9	61.4	17.4	90.9
